Thumb,Index,Middle,Ring,Pinky,Meaning
0.0,21.0,0.0,14.0,14.0,Null
0.0,21.0,0.0,15.0,14.0,Null
0.0,22.0,0.0,16.0,14.0,Null
0.0,23.0,0.0,17.0,15.0,Null
0.0,23.0,0.0,18.0,16.0,Null
0.0,23.0,0.0,17.0,16.0,Null
0.0,23.0,0.0,18.0,17.0,Null
0.0,24.0,0.0,19.0,16.0,Null
0.0,24.0,0.0,19.0,16.0,Null
0.0,24.0,0.0,19.0,17.0,Null
0.0,23.0,1.0,19.0,16.0,Null
0.0,22.0,3.0,17.0,15.0,Null
0.0,48.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,81.0,T
0.0,47.0,90.0,90.0,78.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,50.0,90.0,90.0,81.0,T
0.0,47.0,90.0,90.0,78.0,T
0.0,48.0,90.0,90.0,79.0,T
0.0,49.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,79.0,T
0.0,47.0,90.0,90.0,80.0,T
0.0,47.0,90.0,90.0,81.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,49.0,90.0,90.0,79.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,47.0,90.0,90.0,80.0,T
0.0,49.0,90.0,90.0,80.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,81.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,49.0,90.0,90.0,80.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,47.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,47.0,90.0,90.0,78.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,49.0,90.0,90.0,81.0,T
0.0,47.0,90.0,90.0,78.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,47.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,81.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,50.0,90.0,90.0,81.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,47.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,78.0,T
0.0,48.0,90.0,90.0,78.0,T
0.0,48.0,90.0,90.0,79.0,T
0.0,49.0,90.0,90.0,81.0,T
0.0,47.0,90.0,90.0,78.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,81.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,48.0,90.0,90.0,79.0,T
0.0,47.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,79.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,49.0,90.0,90.0,81.0,T
0.0,47.0,90.0,90.0,78.0,T
0.0,47.0,90.0,90.0,80.0,T
0.0,49.0,90.0,90.0,80.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,48.0,90.0,90.0,81.0,T
0.0,48.0,90.0,90.0,79.0,T
0.0,48.0,90.0,90.0,81.0,T
0.0,47.0,90.0,90.0,78.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,49.0,90.0,90.0,81.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,48.0,90.0,90.0,81.0,T
0.0,48.0,90.0,90.0,78.0,T
0.0,48.0,90.0,90.0,79.0,T
0.0,47.0,90.0,90.0,80.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,79.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,49.0,90.0,90.0,81.0,T
0.0,46.0,90.0,90.0,78.0,T
0.0,48.0,90.0,90.0,79.0,T
0.0,49.0,90.0,90.0,81.0,T
0.0,47.0,90.0,90.0,78.0,T
0.0,47.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,81.0,T
0.0,47.0,90.0,90.0,80.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,49.0,90.0,90.0,81.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,47.0,90.0,90.0,80.0,T
0.0,49.0,90.0,90.0,80.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,48.0,90.0,90.0,79.0,T
0.0,49.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,79.0,T
0.0,49.0,90.0,90.0,79.0,T
0.0,49.0,90.0,90.0,81.0,T
0.0,46.0,90.0,90.0,79.0,T
0.0,48.0,90.0,90.0,79.0,T
0.0,47.0,90.0,90.0,80.0,T
0.0,47.0,90.0,90.0,79.0,T
